"","day","batch","staining","cell","ID","length","fname","neurite","filament","parent","cellline","species"
"1","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",10.9739499109744,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",2,1,0,"SandraA","Chimpanzee/Bonobo"
"2","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",12.3884037756299,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",4,3,0,"SandraA","Chimpanzee/Bonobo"
"3","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",14.2002630564685,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",2,3,1,"SandraA","Chimpanzee/Bonobo"
"4","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",15.1254400086463,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",14,1,11,"SandraA","Chimpanzee/Bonobo"
"5","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",1615.34333323851,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",14,3,12,"SandraA","Chimpanzee/Bonobo"
"6","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",17.0158430854493,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",5,1,1,"SandraA","Chimpanzee/Bonobo"
"7","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",17.4007674246016,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",11,3,9,"SandraA","Chimpanzee/Bonobo"
"8","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",20.9648554914719,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",3,3,1,"SandraA","Chimpanzee/Bonobo"
"9","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",21.687314192493,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",5,3,4,"SandraA","Chimpanzee/Bonobo"
"10","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",228.504373266489,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",12,3,9,"SandraA","Chimpanzee/Bonobo"
"11","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",26.0416645067116,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",1,1,0,"SandraA","Chimpanzee/Bonobo"
"12","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",26.82965196083,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",11,1,9,"SandraA","Chimpanzee/Bonobo"
